url_length,domain_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_at_signs,num_slashes,num_equals,num_ampersands,num_percent,num_question,digit_ratio,letter_ratio,url_entropy,domain_entropy,num_subdomains,has_https,has_ip,has_port,has_at_sign,has_double_slash,domain_has_digit,too_many_subdomains,suspicious_tld,n_suspicious_keywords,has_suspicious_keyword,has_brand_in_domain,brand_impersonation,domain_age_days
32,6,14,0,1,0,0,0,4,0,0,0,0,0.125,0.6875,4.4139,2.2516,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
39,12,13,0,2,0,0,0,4,0,0,0,0,0.0,0.8205,3.904,3.085,1,1,0,0,0,0,0,0,0,0,0,0,0,-1
44,8,7,16,1,0,0,0,3,1,0,0,1,0.0,0.8182,4.2999,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
46,6,28,0,1,1,0,0,4,0,0,0,0,0.0,0.8478,4.1164,2.2516,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
27,12,2,0,3,0,0,0,3,0,0,0,0,0.5185,0.1852,3.6521,2.6258,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
30,13,10,0,3,0,0,0,4,0,0,0,0,0.4333,0.3,3.9484,2.7193,0,0,1,0,0,0,1,0,0,0,0,0,0,-1
33,13,7,0,4,0,0,0,3,0,0,0,0,0.4545,0.2727,4.0896,2.6612,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
36,15,9,0,1,0,0,0,3,0,0,0,0,0.0,0.8611,3.9302,3.4566,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
41,14,20,0,4,0,0,0,4,0,0,0,0,0.3415,0.439,4.3635,2.6995,0,0,1,0,0,0,1,0,0,0,0,0,0,-1
27,12,8,0,4,0,0,0,3,0,0,0,0,0.3704,0.3333,3.9121,2.6887,0,0,1,0,0,0,1,0,0,0,0,0,0,-1
25,8,5,0,1,0,0,0,3,0,0,0,0,0.0,0.8,3.9737,2.75,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
27,10,5,0,1,0,0,0,3,0,0,0,0,0.0,0.8148,3.8744,2.8464,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
28,13,2,0,3,0,0,0,3,0,0,0,0,0.5357,0.1786,3.7709,2.6612,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
33,13,13,0,3,0,1,0,3,0,0,0,0,0.303,0.4545,4.2027,2.8151,0,0,1,0,0,0,1,0,0,0,0,0,0,-1
33,13,7,0,4,0,0,0,3,0,0,0,0,0.4545,0.2727,3.9306,2.6032,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
54,14,33,0,3,0,0,0,4,0,0,0,0,0.2407,0.6111,3.8284,2.6106,0,0,1,0,0,0,1,0,0,0,0,0,0,-1
29,12,5,0,1,0,0,0,3,0,0,0,0,0.0,0.8276,4.0642,3.085,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
30,15,2,0,3,0,0,0,3,0,0,0,0,0.5667,0.1667,3.6729,2.6566,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
34,6,7,8,1,0,0,0,3,1,0,0,1,0.0294,0.7647,4.2339,2.585,0,1,0,0,0,0,1,0,0,0,0,0,0,-1
65,11,37,0,2,4,0,0,3,0,0,0,0,0.2769,0.5692,4.7955,3.2776,1,1,0,0,0,0,0,0,0,0,0,0,0,-1
